"study_id","tobit_mean","tobit_sd","n_alt","study_effect","measurement_error_ref","probs","a_0","a_1","b_0","b_1","measurement_error","rr_log_ref","rr_log_alt","exp_ref","exp_alt","a_avg","b_avg","rr_log","rr_log_se","exposure_linear"
1,2.00214452575892,2.06900104368106,3,0.0052022542274955,0.000670980449800321,0.25,0,0.606624528651055,0.606624528651055,2.00214452575892,0.00461008072068563,0.151656132162764,0.652192263602494,0.303312264325527,1.30438452720499,0.303312264325527,1.30438452720499,0.51102502502181,0.014142135623731,1.00107226287946
1,2.00214452575892,2.06900104368106,3,0.0052022542274955,0.000670980449800321,0.5,0,0.606624528651055,2.00214452575892,3.39766452286679,0.00565864490970594,0.151656132162764,1.34995226215643,0.303312264325527,2.69990452431286,0.303312264325527,2.69990452431286,1.21709343756927,0.014142135623731,2.39659225998733
1,2.00214452575892,2.06900104368106,3,0.0052022542274955,0.000670980449800321,0.75,0,0.606624528651055,3.39766452286679,8.39583839243704,-0.000423638812116638,0.151656132162764,2.94837572882596,0.303312264325527,5.89675145765192,0.303312264325527,5.89675145765192,2.8260654309906,0.014142135623731,5.59343919332639
2,6.85218595666811,2.387857678812,4,0.0180625870789078,0.00155296920714025,0.2,0,4.8425142314298,4.8425142314298,6.24722913104051,0.00494492115822703,1.21062855785745,2.77243584061758,2.4212571157149,5.54487168123516,2.4212571157149,5.54487168123516,1.62472573321615,0.014142135623731,3.12361456552026
2,6.85218595666811,2.387857678812,4,0.0180625870789078,0.00155296920714025,0.4,0,4.8425142314298,6.24722913104051,7.4571427822957,-0.0077318189200973,1.21062855785745,3.42609297833405,2.4212571157149,6.85218595666811,2.4212571157149,6.85218595666811,2.28931960879381,0.014142135623731,4.43092884095321
2,6.85218595666811,2.387857678812,4,0.0180625870789078,0.00155296920714025,0.6,0,4.8425142314298,7.4571427822957,8.86185768190642,0.015808632570371,1.21062855785745,4.07975011605053,2.4212571157149,8.15950023210106,2.4212571157149,8.15950023210106,2.99013067594026,0.014142135623731,5.73824311638616
2,6.85218595666811,2.387857678812,4,0.0180625870789078,0.00155296920714025,0.8,0,4.8425142314298,8.86185768190642,14.2312208982638,-0.0182516358066153,1.21062855785745,5.77326964504256,2.4212571157149,11.5465392900851,2.4212571157149,11.5465392900851,4.7107686244798,0.014142135623731,9.12528217437022
3,9.1687577450648,4.61563262459822,3,-0.0191251989792015,-0.00532872885953513,0.25,0,6.05556084910266,6.05556084910266,9.1687577450648,0.00326875191438929,1.51389021227566,3.80607964854186,3.02778042455133,7.61215929708373,3.02778042455133,7.61215929708373,2.20245230118782,0.014142135623731,4.5843788725324
3,9.1687577450648,4.61563262459822,3,-0.0191251989792015,-0.00532872885953513,0.5,0,6.05556084910266,9.1687577450648,12.2819546410269,-0.00280689345655051,1.51389021227566,5.36267809652293,3.02778042455133,10.7253561930459,3.02778042455133,10.7253561930459,3.69343459370125,0.014142135623731,7.69757576849454
3,9.1687577450648,4.61563262459822,3,-0.0191251989792015,-0.00532872885953513,0.75,0,6.05556084910266,12.2819546410269,23.4321347950004,0.00898097173790017,1.51389021227566,8.92852235900682,3.02778042455133,17.8570447180136,3.02778042455133,17.8570447180136,7.13467175928189,0.014142135623731,14.8292642934623
4,2.84399457275867,4.11320548225194,5,0.00199282075072251,-0.0182897354396687,0.166666666666667,0,0,0,1.07232468394103,-0.0064152681032015,0,0.268081170985256,0,0.536162341970513,0,0.536162341970513,0.244444642883221,0.014142135623731,0.536162341970513
4,2.84399457275867,4.11320548225194,5,0.00199282075072251,-0.0182897354396687,0.333333333333333,0,0,1.07232468394103,2.84399457275867,0.00141200765385728,0,0.979079814174925,0,1.95815962834985,0,1.95815962834985,0.966104347529716,0.014142135623731,1.95815962834985
4,2.84399457275867,4.11320548225194,5,0.00199282075072251,-0.0182897354396687,0.5,0,0,2.84399457275867,4.61566446157632,-0.0165451193057009,0,1.86491475858375,0,3.7298295171675,0,3.7298295171675,1.83751278549685,0.014142135623731,3.7298295171675
4,2.84399457275867,4.11320548225194,5,0.00199282075072251,-0.0182897354396687,0.666666666666667,0,0,4.61566446157632,6.82319826209695,-0.0198472849955261,0,2.85971568091832,0,5.71943136183664,0,5.71943136183664,2.83297646198332,0.014142135623731,5.71943136183664
4,2.84399457275867,4.11320548225194,5,0.00199282075072251,-0.0182897354396687,0.833333333333333,0,0,6.82319826209695,15.5547550359202,-0.00514325863046511,0,5.59448832450428,0,11.1889766490086,0,11.1889766490086,5.59335295527965,0.014142135623731,11.1889766490086
5,1.04650127934292,4.25124336453155,1,0.00276484953038244,0.00600554626479815,0.5,0,1.04650127934292,1.04650127934292,14.1838308657999,-0.0196328141207087,0.26162531983573,3.80758303628569,0.52325063967146,7.61516607257139,0.52325063967146,7.61516607257139,3.55193852764822,0.014142135623731,7.09191543289993
6,7.01057459227741,3.5485687032342,3,-0.00836276427358327,0.000853400833341958,0.25,0,4.61710137407934,4.61710137407934,7.01057459227741,0.00303169081523499,1.15427534351984,2.90691899158919,2.30855068703967,5.81383798317837,2.30855068703967,5.81383798317837,1.72721484834913,0.014142135623731,3.5052872961387
6,7.01057459227741,3.5485687032342,3,-0.00836276427358327,0.000853400833341958,0.5,0,4.61710137407934,7.01057459227741,9.40404781047547,0.00613763723971585,1.15427534351984,4.10365560068822,2.30855068703967,8.20731120137644,2.30855068703967,8.20731120137644,2.90704135155372,0.014142135623731,5.89876051433677
6,7.01057459227741,3.5485687032342,3,-0.00836276427358327,0.000853400833341958,0.75,0,4.61710137407934,9.40404781047547,17.9764762396677,0.0074867755776831,1.15427534351984,6.8451310125358,2.30855068703967,13.6902620250716,2.30855068703967,13.6902620250716,5.60401327647706,0.014142135623731,11.3817113380319
7,5.27959984261543,3.74772252771072,5,0.0202959741488453,-0.00396573561305509,0.166666666666667,0,1.65397224554289,1.65397224554289,3.66535343974584,-0.000257374865110123,0.413493061385723,1.32983142132218,0.826986122771447,2.65966284264437,0.826986122771447,2.65966284264437,0.949311208788027,0.014142135623731,1.83267671987292
7,5.27959984261543,3.74772252771072,5,0.0202959741488453,-0.00396573561305509,0.333333333333333,0,1.65397224554289,3.66535343974584,5.27959984261543,0.00716948264719065,0.413493061385723,2.23623832059032,0.826986122771447,4.47247664118063,0.826986122771447,4.47247664118063,1.89993778756022,0.014142135623731,3.64549051840919
7,5.27959984261543,3.74772252771072,5,0.0202959741488453,-0.00396573561305509,0.5,0,1.65397224554289,5.27959984261543,6.89384624548501,0.0107911835857261,0.413493061385723,3.04336152202511,0.826986122771447,6.08672304405022,0.826986122771447,6.08672304405022,2.74344539319606,0.014142135623731,5.25973692127877
7,5.27959984261543,3.74772252771072,5,0.0202959741488453,-0.00396573561305509,0.666666666666667,0,1.65397224554289,6.89384624548501,8.90522743968796,-0.00123602820547497,0.413493061385723,3.94976842129324,0.826986122771447,7.89953684258648,0.826986122771447,7.89953684258648,3.67461790266475,0.014142135623731,7.07255071981504
7,5.27959984261543,3.74772252771072,5,0.0202959741488453,-0.00396573561305509,0.833333333333333,0,1.65397224554289,8.90522743968796,16.8609330723,0.00729638422774244,0.413493061385723,6.44154012799699,0.826986122771447,12.883080255994,0.826986122771447,12.883080255994,6.27606789008988,0.014142135623731,12.0560941332225
8,8.07935200864449,2.55365184647962,4,0.00429105986561216,-0.0161741431362548,0.2,0.187974573948066,5.93014439149456,5.93014439149456,7.43239171092149,0.00209945563629176,1.52952974136066,3.34063402560401,3.05905948272131,6.68126805120803,3.05905948272131,6.68126805120803,1.8125727105565,0.014142135623731,3.62220856848671
8,8.07935200864449,2.55365184647962,4,0.00429105986561216,-0.0161741431362548,0.4,0.187974573948066,5.93014439149456,7.43239171092149,8.72631230636749,0.00987313402828456,1.52952974136066,4.03967600432225,3.05905948272131,8.07935200864449,3.05905948272131,8.07935200864449,2.52538762962524,0.014142135623731,5.02029252592318
